"","Area","Velocity","Points","Class","State"
"421",0.584807328,0.193752694,0.403278689,2,NA
"422",0.20630299,0.177039825,0.491803279,2,NA
"423",0.045684096,0.197829795,0.629508197,2,NA
"424",0.829553907,0.18946351,0.639344263,2,NA
"425",0.680013188,0.195350853,0.577049181,2,NA
"427",0.536155545,0.216300755,0.442622951,2,NA
"429",0.097160214,0.244468447,0.645901639,2,NA
"430",0.646527956,0.165939634,0.521311476,2,NA
"431",0.56714169,0.20652058,0.514754099,2,NA
"433",0.606816506,0.215808211,0.675409837,2,NA
"434",0.248222048,0.19519208,0.668852459,2,NA
"435",0.255751167,0.151243295,0.626229509,2,NA
"436",0.124823479,0.285772563,0.426229508,3,NA
"438",0.171172405,0.239489702,0.324590164,3,NA
"439",0.136725127,0.270969604,0.639344263,3,NA
"440",0.116708052,0.251826467,0.488524591,3,NA
"441",0.027367006,0.258526217,0.603278689,3,NA
"443",0.439207172,0.314547532,0.406557378,3,NA
"445",0.179308379,0.334419633,0.452459017,3,NA
"447",0.092931037,0.335802232,0.370491804,3,NA
"448",0.642864538,0.234459964,0.540983607,3,NA
"449",0.670728813,0.247277683,0.570491803,3,NA
"450",0.455135077,0.2939314,0.314754099,3,NA
"451",0.39380309,0.34253675,0.406557378,3,NA
"453",0.195456087,0.334396454,0.419672131,3,NA
"454",0.126397952,0.286755332,0.455737706,3,NA
"455",0.331483573,0.416199233,0.242622951,3,NA
"456",0.187430017,0.290062907,0.626229509,3,NA
"457",0.088665385,0.281753409,0.029508197,3,NA
"458",0.122998778,0.30053496,0.049180328,3,NA
"461",0.423682245,0.299225374,0.419672131,3,NA
"462",0.38132517,0.294121464,0.118032788,3,NA
"463",0.218919483,0.258098573,0.157377049,3,NA
"464",0.113560062,0.304171669,0.226229508,3,NA
"468",0.394343046,0.351461637,0.144262296,3,NA
"469",0.244529959,0.380338591,0.213114755,3,NA
"474",0.103673134,0.342294534,0.091803279,3,NA
"475",0.073631195,0.331174641,0.088524591,3,NA
"476",0.35177413,0.328673679,0.278688525,3,NA
"477",0.304840968,0.34585939,0.304918033,3,NA
"479",0.02692437,0.337175559,0.059016394,3,NA
"481",0.23143563,0.286493415,0.295081968,3,NA
"483",0.587065905,0.263095861,0.619672131,3,NA
"484",0.500453149,0.314451341,0.311475411,3,NA
"485",0.242432254,0.317414714,0.06885246,3,NA
"487",0.311302918,0.262624179,0.403278689,3,NA
"489",0.197880315,0.323383183,0.04590164,3,NA
"490",0.38249587,0.346562858,0.373770492,3,NA
"491",0.216699133,0.328766393,0.137704919,3,NA
"494",0.171748996,0.248486442,0.593442623,3,NA
"495",0.076351841,0.232335652,0.668852459,3,NA
"496",0.163472857,0.391658979,0.196721312,3,NA
"497",0.159392128,0.306807067,0.160655739,3,NA
"499",0.084287441,0.368175666,0.127868853,3,NA
"500",0.281430135,0.332444823,0.186885247,3,NA
"501",0.079922877,0.341246865,0.114754099,3,NA
"504",0.12294526,0.309212996,0.075409836,3,NA
"506",0.653950359,0.277278796,0.53442623,3,NA
"507",0.159505215,0.330915042,0.331147542,3,NA
"508",0.389808372,0.302690562,0.360655738,3,NA
"510",0.275082865,0.276187087,0.773770493,3,NA
"518",0.26659807,0.348962993,0.062295083,3,NA
"519",0.468952533,0.254816495,0.439344263,3,NA
"520",0.372996469,0.329097846,0.186885247,3,NA
"521",0.181648188,0.316754127,0.160655739,3,NA
"522",0.145014646,0.317338225,0.193442624,3,NA
"523",0.221893222,0.355537579,0.104918033,3,NA
"525",0.149545338,0.38834561,0.055737705,3,NA
"529",0.501977449,0.349146103,0.419672131,3,NA
"531",0.189223498,0.303952632,0.111475411,3,NA
"532",0.300365227,0.256965144,0.24590164,3,NA
"534",0.159774397,0.344289045,0.236065575,3,NA
"535",0.34361745,0.279889856,0.160655739,3,NA
"536",0.169507939,0.263243045,0.2,3,NA
"539",0.340149945,0.256771604,0.488524591,3,NA
"540",0.438724557,0.267271471,0.180327869,3,NA
"541",0.346675608,0.333979242,0.121311476,3,NA
"542",0.347312723,0.333604908,0.242622951,3,NA
"544",0.459276332,0.285996236,0.442622951,3,NA
"545",0.384775154,0.344931091,0.262295083,3,NA
"547",0.283983378,0.349724407,0.095081968,3,NA
"549",0.095355104,0.309160845,0.170491804,3,NA
"553",0.269797986,0.33407775,0.216393443,3,NA
"554",0.399514836,0.308515323,0.426229508,3,NA
"555",0.466835715,0.363933997,0.396721312,3,NA
"556",0.306409866,0.331363546,0.439344263,3,NA
"557",0.364430442,0.368642712,0.186885247,3,NA
"559",0.393949627,0.358130096,0.229508197,3,NA
"561",0.355765663,0.264783258,0.540983607,3,NA
"562",0.542058426,0.319975941,0.468852459,3,NA
"564",0.11748422,0.33354928,0.052459017,3,NA
"567",0.397433059,0.402753376,0.485245902,3,NA
"568",0.072631242,0.349876226,0.104918033,3,NA
"569",0.286192578,0.299637951,0.177049181,3,NA
"571",0.221800841,0.377196744,0.190163935,3,NA
"572",0.481637515,0.24352624,0.324590164,3,NA
"573",0.499303154,0.270472424,0.419672131,3,NA
"575",0.41369067,0.250598006,0.226229508,3,NA
"577",0.15880837,0.287067083,0.596721312,3,NA
"578",0.191677989,0.382360917,0.180327869,3,NA
"582",0.530072679,0.273534306,0.51147541,3,NA
"583",0.450144864,0.259061641,0.429508198,3,NA
"585",0.120564676,0.345036552,0.036065574,3,NA
"587",0.70010146,0.51915009,0.550819673,4,NA
"588",0.054960347,0.395393038,0.091803279,4,NA
"589",0.130718715,0.389504536,0.029508197,4,NA
"590",0.262133479,0.404029353,0.337704919,4,NA
"591",0.026363388,0.496338953,0.02295082,4,NA
"592",0.080152079,0.453817965,0.075409836,4,NA
"593",0.114973822,0.448193698,0.081967213,4,NA
"594",0.340014558,0.430868916,0.186885247,4,NA
"595",0.183709258,0.456890277,0.121311476,4,NA
"597",0.125949423,0.404762953,0.301639344,4,NA
"598",0.251554165,0.383330938,0.24590164,4,NA
